"PhysicalDataID","StationCode","Date","Time","WeatherCode","Tide","MicrocystisVisualRank","WaterTemperature","Secchi","Conductivity","SpCnd","pH","DO","Turbidity","Datetime","Year","Month","MonthAbb","Flag_PQC","Comment_PQC"
1857,"SHR",2019-03-29,"09:05:00","CLR",NA,1,11.5,0.3,98,124,7.69,10.66,23.4,1553850300,"2019","3","Mar","NA",NA
1856,"STTD",2019-03-28,"10:00:00","CLD","Overtopping",1,14,0.28,349,441,8.13,9.02,23.3,1553767200,"2019","3","Mar","NA",NA
1854,"SHR",2019-03-21,"08:44:00","CLR",NA,1,12.4,0.4,108,142,7.64,10.35,20.7,1553157840,"2019","3","Mar","NA",NA
1852,"STTD",2019-03-20,"09:59:00","RAN","Overtopping",1,14.3,0.22,170,213,7.74,9.01,27.4,1553075940,"2019","3","Mar","NA",NA
1850,"STTD",2019-02-05,"10:25:00","CLR",NA,1,10.4,0.07,331,458,7.6,8.41,120.1,1549362300,"2019","2","Feb","NA",NA
1849,"SHR",2019-02-04,"09:16:00","CLD","Ebb",1,11.4,0.33,140,188,8.11,9.84,38.5,1549271760,"2019","2","Feb","NA",NA
1848,"STTD",2019-02-26,"10:45:00","RAN","Overtopping",1,9.7,0.15,219,308,7.9,9.46,77.9,1551177900,"2019","2","Feb","NA",NA
1847,"SHR",2019-02-27,"08:40:00","RAN","Ebb",1,8.8,0.2,170,101,7.87,11.56,57.2,1551256800,"2019","2","Feb","3","COND"
1844,"STTD",2019-02-19,"10:34:00","CLR","Overtopping",1,7.6,0.1,69,103,7.81,10.69,94.4,1550572440,"2019","2","Feb","NA",NA
1843,"SHR",2019-02-20,"09:18:00","CLD",NA,1,8.5,0.2,87,127,7.47,10.59,57.4,1550654280,"2019","2","Feb","NA",NA
1841,"STTD",2019-03-11,"11:43:00","CLR","Overtopping",1,11.2,0.14,101,137,NA,9.64,74.5,1552304580,"2019","3","Mar","NA",NA
1840,"SHR",2019-03-12,"09:12:00","CLR",NA,1,10.9,0.3,82,113,7.4,10.23,36.2,1552381920,"2019","3","Mar","NA",NA
1838,"STTD",2019-01-22,"11:37:00","CLR",NA,1,10.6,0.12,272,374,8.25,7.2,147.3,1548157020,"2019","1","Jan","NA",NA
1837,"SHR",2019-01-23,"09:45:00","CLR",NA,1,10.4,0.14,108,150,7.67,9.7,74,1548236700,"2019","1","Jan","NA",NA
1836,"STTD",2019-01-08,"09:53:00","CLD","Ebb",1,8.5,0.21,373,545,7.66,9.75,40.7,1546941180,"2019","1","Jan","NA",NA
1834,"SHR",2019-01-09,"09:06:00","CLD",NA,1,8.9,0.38,113,163,7.44,10.62,30.9,1547024760,"2019","1","Jan","NA",NA
1833,"SHR",2018-12-27,"10:27:00","CLR","Ebb",1,9.7,0.6,133,188,6.41,10.29,16.8,1545906420,"2018","12","Dec","NA",NA
1832,"STTD",2018-12-26,"10:35:00","CLR","Ebb",1,10.4,0.47,438,607,6.44,8.11,12.4,1545820500,"2018","12","Dec","NA",NA
1830,"STTD",2018-12-11,"10:45:00","FOG","Ebb",1,10.2,0.92,374,521,9.11,9.55,9.8,1544525100,"2018","12","Dec","NA",NA
1829,"SHR",2018-12-12,"11:00:00","CLR","Ebb",1,10.3,2.4,133,184,8.58,10.24,7.6,1544612400,"2018","12","Dec","NA",NA
1827,"SHR",2018-10-26,"09:01:00","CLD","Ebb",1,15.9,NA,106,129,7.68,9.47,5.8,1540544460,"2018","10","Oct","NA",NA
1819,"STTD",2018-10-25,"10:10:00","CLR","Ebb",1,16.7,0.8,181,215,8.56,9.24,9.2,1540462200,"2018","10","Oct","NA",NA
1809,"STTD",2018-11-01,"10:54:00","CLD","Flood",1,15.6,0.65,176,214,8.39,8.53,12,1541069640,"2018","11","Nov","NA",NA
1792,"STTD",2018-10-18,"11:29:00","CLR","Flood",1,16.5,0.8,179,214,8.61,9.59,12,1539862140,"2018","10","Oct","NA",NA
1790,"STTD",2018-11-26,"10:20:00","CLD",NA,1,11.8,0.56,190,254,7.81,9.6,14.9,1543227600,"2018","11","Nov","NA",NA
1789,"SHR",2018-11-27,"09:20:00","CLD","Ebb",1,12.4,1.15,141,185,7.56,9.33,7.5,1543310400,"2018","11","Nov","NA",NA
1787,"STTD",2018-11-08,"09:42:00","CLR","Ebb",1,14.4,0.52,174,218,8.29,9.07,16.2,1541670120,"2018","11","Nov","NA",NA
1785,"SHR",2018-11-09,"09:29:00","CLR","Ebb",1,12.8,3.5,106,138,7.84,9.87,4.6,1541755740,"2018","11","Nov","NA",NA
1784,"SHR",2018-10-11,"09:07:00","CLD","High",1,17.4,2.2,109,127,7.68,8.98,4.6,1539248820,"2018","10","Oct","NA",NA
1778,"STTD",2018-10-04,"12:25:00","CLD","Flood",1,20.9,0.4,NA,279,8.4,7.6,10.4,1538655900,"2018","10","Oct","NA",NA
1765,"STTD",2018-09-27,"12:24:00","CLR","Ebb",1,21.9,0.41,530,563,8.13,7.89,16.5,1538051040,"2018","9","Sep","NA",NA
1759,"STTD",2018-10-10,"11:17:00","CLR","Ebb",1,18.2,0.9,191,220,8.36,8.48,6.5,1539170220,"2018","10","Oct","NA",NA
1738,"STTD",2018-09-13,"13:09:00","CLR","Ebb",1,20.9,0.4,540,585,7.78,6.27,25.1,1536844140,"2018","9","Sep","NA",NA
1727,"STTD",2018-09-19,"13:31:00","CLR","Flood",1,20.5,0.4,595,652,7.89,6.77,22.1,1537363860,"2018","9","Sep","NA",NA
1725,"SHR",2018-09-20,"09:45:00","CLR","Ebb",1,18,1.7,111,128,7.7,9.06,8,1537436700,"2018","9","Sep","NA",NA
1721,"SHR",2018-09-06,"09:26:00","CLR","Ebb",1,19.9,1.3,140,155,7.59,8.54,5.7,1536225960,"2018","9","Sep","NA",NA
1717,"STTD",2018-09-05,"10:57:00","CLR","Ebb",1,22.2,0.25,522,551,7.74,6.43,19.3,1536145020,"2018","9","Sep","NA",NA
1705,"STTD",2018-08-30,"13:32:00","CLD","Ebb",1,21.3,0.3,314,338,7.89,7.45,25.6,1535635920,"2018","8","Aug","NA",NA
